Disease,Symptoms,Medicine,Brand Name,Dosage,Price (INR)
Depression,"Weight loss, Joint pain, Itching, Sore throat",Ciprofloxacin,Ciplox,200mg,20
Depression,"Weight loss, Joint pain, Itching, Sore throat",Ibuprofen,Azithral,500mg,75
Insomnia,"Joint pain, Weight loss, Sweating, Vomiting",Ranitidine,Crocin,250mg,200
Insomnia,"Joint pain, Weight loss, Sweating, Vomiting",Omeprazole,Azithral,10mg,50
Dengue,"Headache, Chest tightness, Fatigue, Pain",Ibuprofen,Brufen,5mg,50
Dengue,"Headache, Chest tightness, Fatigue, Pain",Azithromycin,Augmentin,250mg,20
Chickenpox,"Weight loss, Vomiting, Chills, Dizziness",Cetirizine,Brufen,500mg,150
Chickenpox,"Weight loss, Vomiting, Chills, Dizziness",Paracetamol,Zinetac,1g,200
Allergy,"Cough, Shortness of breath, Fever, Pain",Ibuprofen,Augmentin,1g,50
Allergy,"Cough, Shortness of breath, Fever, Pain",Omeprazole,Azithral,200mg,30
Chickenpox,"Fever, Rash, Sweating, Nausea",Metronidazole,Zinetac,10mg,150
Chickenpox,"Fever, Rash, Sweating, Nausea",Amoxicillin,Ciplox,1g,200
Gastritis,"Joint pain, Sore throat, Weight loss, Nausea",Azithromycin,Brufen,500mg,30
Gastritis,"Joint pain, Sore throat, Weight loss, Nausea",Metronidazole,Ciplox,10mg,100
Cholera,"Headache, Weight loss, Sweating, Shortness of breath",Azithromycin,Augmentin,1g,150
Cholera,"Headache, Weight loss, Sweating, Shortness of breath",Cetirizine,Claritine,200mg,50
Common Cold,"Chills, Fatigue, Weight loss, Nausea",Metronidazole,Flagyl,500mg,50
Common Cold,"Chills, Fatigue, Weight loss, Nausea",Cetirizine,Claritine,1g,30
Bronchitis,"Sore throat, Fatigue, Nausea, Fever",Cetirizine,Zinetac,100mg,200
Bronchitis,"Sore throat, Fatigue, Nausea, Fever",Omeprazole,Augmentin,200mg,150
Allergy,"Chest tightness, Headache, Vomiting, Sore throat",Ciprofloxacin,Ciplox,100mg,200
Allergy,"Chest tightness, Headache, Vomiting, Sore throat",Ibuprofen,Azithral,500mg,20
Depression,"Itching, Headache, Sweating, Cough",Ibuprofen,Augmentin,5mg,100
Depression,"Itching, Headache, Sweating, Cough",Ciprofloxacin,Claritine,1g,50
Glaucoma,"Rash, Joint pain, Headache, Weight loss",Ciprofloxacin,Brufen,200mg,75
Glaucoma,"Rash, Joint pain, Headache, Weight loss",Ranitidine,Claritine,100mg,20
Constipation,"Headache, Weight loss, Dizziness, Fever",Omeprazole,Ciplox,1g,50
Constipation,"Headache, Weight loss, Dizziness, Fever",Paracetamol,Omez,200mg,20
Flu,"Chills, Weight loss, Vomiting, Sweating",Loratadine,Zinetac,100mg,30
Flu,"Chills, Weight loss, Vomiting, Sweating",Cetirizine,Flagyl,5mg,75
Gout,"Sore throat, Itching, Sweating, Cough",Paracetamol,Ciplox,500mg,20
Gout,"Sore throat, Itching, Sweating, Cough",Loratadine,Alerid,5mg,200
COVID-19,"Pain, Headache, Joint pain, Rash",Metronidazole,Omez,500mg,50
COVID-19,"Pain, Headache, Joint pain, Rash",Ciprofloxacin,Azithral,100mg,200
Eye Infection,"Itching, Cough, Sweating, Rash",Loratadine,Augmentin,500mg,100
Eye Infection,"Itching, Cough, Sweating, Rash",Azithromycin,Omez,1g,200
Insomnia,"Dizziness, Fever, Rash, Nausea",Paracetamol,Augmentin,10mg,50
Insomnia,"Dizziness, Fever, Rash, Nausea",Ibuprofen,Omez,250mg,150
Hepatitis,"Pain, Fatigue, Fever, Vomiting",Omeprazole,Augmentin,200mg,150
Hepatitis,"Pain, Fatigue, Fever, Vomiting",Amoxicillin,Ciplox,1g,75
Chickenpox,"Dizziness, Weight loss, Chills, Sweating",Ranitidine,Claritine,1g,75
Chickenpox,"Dizziness, Weight loss, Chills, Sweating",Metronidazole,Crocin,10mg,150
Indigestion,"Itching, Cough, Chills, Vomiting",Ibuprofen,Brufen,5mg,75
Indigestion,"Itching, Cough, Chills, Vomiting",Ciprofloxacin,Omez,500mg,150
Gout,"Weight loss, Fatigue, Headache, Sweating",Metronidazole,Omez,10mg,200
Gout,"Weight loss, Fatigue, Headache, Sweating",Ciprofloxacin,Ciplox,5mg,50
Allergy,"Headache, Fever, Dizziness, Itching",Omeprazole,Alerid,10mg,200
Allergy,"Headache, Fever, Dizziness, Itching",Loratadine,Azithral,250mg,20
Hepatitis,"Headache, Itching, Joint pain, Fatigue",Cetirizine,Brufen,10mg,75
Hepatitis,"Headache, Itching, Joint pain, Fatigue",Paracetamol,Claritine,200mg,30
COVID-19,"Cough, Chest tightness, Chills, Nausea",Metronidazole,Azithral,1g,50
COVID-19,"Cough, Chest tightness, Chills, Nausea",Ranitidine,Augmentin,5mg,30
Depression,"Sore throat, Pain, Joint pain, Chest tightness",Amoxicillin,Augmentin,500mg,200
Depression,"Sore throat, Pain, Joint pain, Chest tightness",Loratadine,Crocin,200mg,100
Allergy,"Joint pain, Shortness of breath, Fatigue, Chest tightness",Amoxicillin,Brufen,100mg,100
Allergy,"Joint pain, Shortness of breath, Fatigue, Chest tightness",Omeprazole,Omez,5mg,30
Diarrhea,"Fatigue, Chills, Chest tightness, Shortness of breath",Azithromycin,Alerid,500mg,75
Diarrhea,"Fatigue, Chills, Chest tightness, Shortness of breath",Paracetamol,Omez,250mg,200
Gout,"Fatigue, Sore throat, Fever, Chest tightness",Loratadine,Flagyl,500mg,50
Gout,"Fatigue, Sore throat, Fever, Chest tightness",Azithromycin,Azithral,1g,150
Gout,"Joint pain, Sore throat, Vomiting, Cough",Ibuprofen,Alerid,200mg,100
Gout,"Joint pain, Sore throat, Vomiting, Cough",Amoxicillin,Claritine,1g,200
Hepatitis,"Shortness of breath, Fatigue, Sore throat, Rash",Ranitidine,Zinetac,250mg,50
Hepatitis,"Shortness of breath, Fatigue, Sore throat, Rash",Azithromycin,Augmentin,100mg,75
Eye Infection,"Chills, Headache, Fatigue, Cough",Amoxicillin,Azithral,500mg,200
Eye Infection,"Chills, Headache, Fatigue, Cough",Ranitidine,Omez,100mg,30
HIV,"Shortness of breath, Cough, Rash, Headache",Cetirizine,Augmentin,1g,150
HIV,"Shortness of breath, Cough, Rash, Headache",Ciprofloxacin,Flagyl,5mg,50
Back Pain,"Chills, Rash, Fatigue, Shortness of breath",Amoxicillin,Brufen,250mg,30
Back Pain,"Chills, Rash, Fatigue, Shortness of breath",Ciprofloxacin,Augmentin,5mg,200
Constipation,"Cough, Sweating, Dizziness, Pain",Ibuprofen,Azithral,500mg,100
Constipation,"Cough, Sweating, Dizziness, Pain",Amoxicillin,Zinetac,100mg,50
Common Cold,"Chills, Nausea, Chest tightness, Dizziness",Azithromycin,Ciplox,250mg,100
Common Cold,"Chills, Nausea, Chest tightness, Dizziness",Metronidazole,Brufen,1g,30
Chickenpox,"Chest tightness, Fatigue, Chills, Dizziness",Ciprofloxacin,Alerid,500mg,150
Chickenpox,"Chest tightness, Fatigue, Chills, Dizziness",Ranitidine,Azithral,200mg,20
Chickenpox,"Joint pain, Cough, Headache, Sweating",Ibuprofen,Azithral,500mg,30
Chickenpox,"Joint pain, Cough, Headache, Sweating",Omeprazole,Crocin,5mg,100
Bronchitis,"Chills, Headache, Weight loss, Pain",Omeprazole,Ciplox,200mg,150
Bronchitis,"Chills, Headache, Weight loss, Pain",Paracetamol,Azithral,500mg,30
Eye Infection,"Rash, Shortness of breath, Pain, Chest tightness",Ciprofloxacin,Flagyl,500mg,75
Eye Infection,"Rash, Shortness of breath, Pain, Chest tightness",Omeprazole,Alerid,100mg,100
Eye Infection,"Headache, Fever, Nausea, Shortness of breath",Cetirizine,Crocin,200mg,50
Eye Infection,"Headache, Fever, Nausea, Shortness of breath",Amoxicillin,Omez,500mg,150
HIV,"Vomiting, Weight loss, Rash, Shortness of breath",Metronidazole,Zinetac,200mg,75
HIV,"Vomiting, Weight loss, Rash, Shortness of breath",Azithromycin,Alerid,100mg,200
Glaucoma,"Chest tightness, Sore throat, Shortness of breath, Nausea",Omeprazole,Claritine,250mg,20
Glaucoma,"Chest tightness, Sore throat, Shortness of breath, Nausea",Azithromycin,Augmentin,100mg,150
Allergy,"Joint pain, Chest tightness, Vomiting, Itching",Omeprazole,Augmentin,100mg,100
Allergy,"Joint pain, Chest tightness, Vomiting, Itching",Ciprofloxacin,Zinetac,1g,20
Insomnia,"Headache, Chills, Sore throat, Rash",Cetirizine,Crocin,10mg,150
Insomnia,"Headache, Chills, Sore throat, Rash",Loratadine,Ciplox,500mg,20
Flu,"Chills, Sore throat, Rash, Cough",Ranitidine,Ciplox,500mg,200
Flu,"Chills, Sore throat, Rash, Cough",Loratadine,Azithral,250mg,30
Back Pain,"Headache, Chest tightness, Shortness of breath, Chills",Azithromycin,Claritine,500mg,30
Back Pain,"Headache, Chest tightness, Shortness of breath, Chills",Cetirizine,Crocin,250mg,75
COVID-19,"Sore throat, Dizziness, Vomiting, Rash",Ibuprofen,Brufen,250mg,50
COVID-19,"Sore throat, Dizziness, Vomiting, Rash",Amoxicillin,Flagyl,5mg,30
Indigestion,"Headache, Shortness of breath, Sore throat, Nausea",Ranitidine,Crocin,250mg,75
Indigestion,"Headache, Shortness of breath, Sore throat, Nausea",Cetirizine,Ciplox,100mg,20
Ear Infection,"Dizziness, Chest tightness, Weight loss, Cough",Metronidazole,Brufen,5mg,100
Ear Infection,"Dizziness, Chest tightness, Weight loss, Cough",Ranitidine,Claritine,200mg,75
Allergy,"Itching, Headache, Sweating, Weight loss",Cetirizine,Claritine,1g,150
Allergy,"Itching, Headache, Sweating, Weight loss",Paracetamol,Brufen,200mg,200
Chickenpox,"Sweating, Joint pain, Itching, Rash",Paracetamol,Brufen,5mg,20
Chickenpox,"Sweating, Joint pain, Itching, Rash",Omeprazole,Alerid,1g,150
Ear Infection,"Rash, Chills, Sore throat, Dizziness",Azithromycin,Zinetac,500mg,150
Ear Infection,"Rash, Chills, Sore throat, Dizziness",Metronidazole,Azithral,10mg,75
Ear Infection,"Chest tightness, Fatigue, Fever, Nausea",Ranitidine,Ciplox,100mg,100
Ear Infection,"Chest tightness, Fatigue, Fever, Nausea",Ciprofloxacin,Zinetac,5mg,75
Cholera,"Fatigue, Chest tightness, Joint pain, Chills",Metronidazole,Ciplox,1g,150
Cholera,"Fatigue, Chest tightness, Joint pain, Chills",Ibuprofen,Azithral,100mg,20
Hepatitis,"Nausea, Fatigue, Weight loss, Sore throat",Loratadine,Zinetac,1g,100
Hepatitis,"Nausea, Fatigue, Weight loss, Sore throat",Azithromycin,Brufen,500mg,50
Flu,"Joint pain, Weight loss, Vomiting, Sweating",Ibuprofen,Zinetac,500mg,50
Flu,"Joint pain, Weight loss, Vomiting, Sweating",Ranitidine,Brufen,100mg,100
Dengue,"Sweating, Cough, Nausea, Pain",Amoxicillin,Alerid,1g,200
Dengue,"Sweating, Cough, Nausea, Pain",Metronidazole,Augmentin,500mg,30
Acne,"Fever, Rash, Pain, Nausea",Metronidazole,Flagyl,5mg,20
Acne,"Fever, Rash, Pain, Nausea",Amoxicillin,Azithral,250mg,50
Dengue,"Chills, Chest tightness, Itching, Rash",Ibuprofen,Crocin,10mg,150
Dengue,"Chills, Chest tightness, Itching, Rash",Loratadine,Flagyl,500mg,30
Bronchitis,"Cough, Weight loss, Fatigue, Headache",Omeprazole,Zinetac,250mg,50
Bronchitis,"Cough, Weight loss, Fatigue, Headache",Amoxicillin,Crocin,200mg,100
Common Cold,"Sore throat, Headache, Fever, Chest tightness",Amoxicillin,Flagyl,1g,30
Common Cold,"Sore throat, Headache, Fever, Chest tightness",Azithromycin,Claritine,200mg,150
Epilepsy,"Joint pain, Pain, Chills, Itching",Omeprazole,Ciplox,500mg,30
Epilepsy,"Joint pain, Pain, Chills, Itching",Ibuprofen,Azithral,5mg,20
Acne,"Rash, Sweating, Vomiting, Nausea",Cetirizine,Alerid,100mg,200
Acne,"Rash, Sweating, Vomiting, Nausea",Metronidazole,Claritine,200mg,100
Hepatitis,"Dizziness, Fatigue, Chest tightness, Chills",Loratadine,Omez,250mg,30
Hepatitis,"Dizziness, Fatigue, Chest tightness, Chills",Amoxicillin,Zinetac,200mg,100
Epilepsy,"Chest tightness, Shortness of breath, Sore throat, Dizziness",Ibuprofen,Zinetac,100mg,75
Epilepsy,"Chest tightness, Shortness of breath, Sore throat, Dizziness",Metronidazole,Augmentin,5mg,30
Flu,"Fatigue, Vomiting, Chest tightness, Chills",Amoxicillin,Crocin,100mg,100
Flu,"Fatigue, Vomiting, Chest tightness, Chills",Ibuprofen,Ciplox,1g,75
Depression,"Fever, Sweating, Pain, Rash",Ranitidine,Azithral,500mg,200
Depression,"Fever, Sweating, Pain, Rash",Metronidazole,Claritine,250mg,150
Flu,"Itching, Vomiting, Sweating, Shortness of breath",Ciprofloxacin,Claritine,10mg,200
Flu,"Itching, Vomiting, Sweating, Shortness of breath",Ranitidine,Alerid,100mg,150
Eye Infection,"Cough, Dizziness, Pain, Rash",Omeprazole,Zinetac,10mg,200
Eye Infection,"Cough, Dizziness, Pain, Rash",Paracetamol,Ciplox,500mg,100
Ear Infection,"Shortness of breath, Fever, Itching, Headache",Paracetamol,Zinetac,200mg,200
Ear Infection,"Shortness of breath, Fever, Itching, Headache",Ciprofloxacin,Azithral,500mg,100
Hepatitis,"Sweating, Weight loss, Rash, Vomiting",Ibuprofen,Brufen,500mg,100
Hepatitis,"Sweating, Weight loss, Rash, Vomiting",Cetirizine,Zinetac,5mg,75
Common Cold,"Weight loss, Pain, Rash, Shortness of breath",Cetirizine,Omez,500mg,150
Common Cold,"Weight loss, Pain, Rash, Shortness of breath",Azithromycin,Flagyl,100mg,100
Epilepsy,"Sweating, Joint pain, Fever, Fatigue",Cetirizine,Crocin,5mg,75
Epilepsy,"Sweating, Joint pain, Fever, Fatigue",Ibuprofen,Azithral,1g,50
Back Pain,"Shortness of breath, Cough, Dizziness, Fatigue",Ranitidine,Crocin,250mg,50
Back Pain,"Shortness of breath, Cough, Dizziness, Fatigue",Paracetamol,Omez,100mg,75
Eye Infection,"Fatigue, Fever, Headache, Shortness of breath",Ciprofloxacin,Brufen,200mg,150
Eye Infection,"Fatigue, Fever, Headache, Shortness of breath",Azithromycin,Zinetac,250mg,20
Acne,"Sore throat, Itching, Cough, Weight loss",Metronidazole,Zinetac,1g,50
Acne,"Sore throat, Itching, Cough, Weight loss",Amoxicillin,Claritine,10mg,75
Bronchitis,"Joint pain, Sweating, Headache, Weight loss",Ciprofloxacin,Alerid,100mg,20
Bronchitis,"Joint pain, Sweating, Headache, Weight loss",Amoxicillin,Flagyl,10mg,30
COVID-19,"Shortness of breath, Cough, Sweating, Weight loss",Paracetamol,Alerid,250mg,100
COVID-19,"Shortness of breath, Cough, Sweating, Weight loss",Cetirizine,Claritine,500mg,75
Gout,"Sore throat, Itching, Fatigue, Dizziness",Paracetamol,Brufen,1g,200
Gout,"Sore throat, Itching, Fatigue, Dizziness",Amoxicillin,Augmentin,5mg,150
Flu,"Pain, Dizziness, Sore throat, Nausea",Loratadine,Omez,1g,75
Flu,"Pain, Dizziness, Sore throat, Nausea",Amoxicillin,Alerid,250mg,100
Indigestion,"Weight loss, Itching, Fever, Nausea",Azithromycin,Ciplox,500mg,30
Indigestion,"Weight loss, Itching, Fever, Nausea",Ranitidine,Claritine,10mg,50
Bronchitis,"Joint pain, Chest tightness, Sore throat, Fatigue",Amoxicillin,Azithral,5mg,75
Bronchitis,"Joint pain, Chest tightness, Sore throat, Fatigue",Paracetamol,Crocin,250mg,150
Back Pain,"Fatigue, Sore throat, Headache, Chest tightness",Ciprofloxacin,Alerid,5mg,100
Back Pain,"Fatigue, Sore throat, Headache, Chest tightness",Azithromycin,Flagyl,1g,200
Hepatitis,"Vomiting, Dizziness, Fatigue, Chest tightness",Azithromycin,Zinetac,250mg,50
Hepatitis,"Vomiting, Dizziness, Fatigue, Chest tightness",Amoxicillin,Ciplox,100mg,30
Chickenpox,"Weight loss, Sore throat, Nausea, Rash",Ranitidine,Crocin,5mg,75
Chickenpox,"Weight loss, Sore throat, Nausea, Rash",Ciprofloxacin,Claritine,500mg,30
Back Pain,"Fatigue, Dizziness, Rash, Sore throat",Loratadine,Azithral,250mg,50
Back Pain,"Fatigue, Dizziness, Rash, Sore throat",Cetirizine,Augmentin,1g,75
Flu,"Weight loss, Joint pain, Chills, Fatigue",Ciprofloxacin,Crocin,1g,75
Flu,"Weight loss, Joint pain, Chills, Fatigue",Omeprazole,Ciplox,500mg,30
Eye Infection,"Dizziness, Vomiting, Headache, Rash",Metronidazole,Zinetac,5mg,150
Eye Infection,"Dizziness, Vomiting, Headache, Rash",Paracetamol,Omez,250mg,200
Hepatitis,"Headache, Sore throat, Joint pain, Pain",Ranitidine,Claritine,250mg,30
Hepatitis,"Headache, Sore throat, Joint pain, Pain",Azithromycin,Crocin,10mg,50
HIV,"Fatigue, Chest tightness, Fever, Pain",Ibuprofen,Alerid,10mg,100
HIV,"Fatigue, Chest tightness, Fever, Pain",Azithromycin,Azithral,100mg,150
Indigestion,"Cough, Rash, Dizziness, Headache",Amoxicillin,Augmentin,5mg,200
Indigestion,"Cough, Rash, Dizziness, Headache",Cetirizine,Claritine,10mg,150
Diarrhea,"Sore throat, Dizziness, Sweating, Shortness of breath",Amoxicillin,Alerid,100mg,50
Diarrhea,"Sore throat, Dizziness, Sweating, Shortness of breath",Metronidazole,Augmentin,200mg,100
Constipation,"Shortness of breath, Cough, Dizziness, Chills",Loratadine,Ciplox,100mg,100
Constipation,"Shortness of breath, Cough, Dizziness, Chills",Ibuprofen,Brufen,250mg,75
Anxiety,"Weight loss, Chest tightness, Sore throat, Cough",Ibuprofen,Flagyl,100mg,100
Anxiety,"Weight loss, Chest tightness, Sore throat, Cough",Ciprofloxacin,Brufen,200mg,75
Chickenpox,"Sweating, Rash, Fatigue, Chest tightness",Ibuprofen,Ciplox,500mg,75
Chickenpox,"Sweating, Rash, Fatigue, Chest tightness",Loratadine,Alerid,10mg,200
Epilepsy,"Joint pain, Chills, Headache, Fatigue",Cetirizine,Crocin,1g,20
Epilepsy,"Joint pain, Chills, Headache, Fatigue",Loratadine,Claritine,5mg,150
Common Cold,"Pain, Chest tightness, Sweating, Joint pain",Ranitidine,Claritine,250mg,100
Common Cold,"Pain, Chest tightness, Sweating, Joint pain",Ciprofloxacin,Azithral,5mg,50
Hepatitis,"Sweating, Cough, Dizziness, Chest tightness",Paracetamol,Azithral,5mg,20
Hepatitis,"Sweating, Cough, Dizziness, Chest tightness",Cetirizine,Crocin,200mg,200
Depression,"Joint pain, Fever, Sore throat, Shortness of breath",Ranitidine,Zinetac,10mg,150
Depression,"Joint pain, Fever, Sore throat, Shortness of breath",Omeprazole,Claritine,500mg,30
Indigestion,"Joint pain, Weight loss, Chest tightness, Sore throat",Loratadine,Claritine,500mg,100
Indigestion,"Joint pain, Weight loss, Chest tightness, Sore throat",Omeprazole,Augmentin,250mg,75
Acne,"Vomiting, Fatigue, Sweating, Dizziness",Loratadine,Azithral,1g,200
Acne,"Vomiting, Fatigue, Sweating, Dizziness",Omeprazole,Zinetac,250mg,30
Epilepsy,"Pain, Dizziness, Chills, Joint pain",Omeprazole,Crocin,1g,200
Epilepsy,"Pain, Dizziness, Chills, Joint pain",Metronidazole,Omez,250mg,100
Constipation,"Nausea, Chest tightness, Fever, Fatigue",Paracetamol,Azithral,10mg,100
Constipation,"Nausea, Chest tightness, Fever, Fatigue",Metronidazole,Alerid,5mg,30
Insomnia,"Itching, Headache, Chest tightness, Shortness of breath",Paracetamol,Ciplox,200mg,50
Insomnia,"Itching, Headache, Chest tightness, Shortness of breath",Ciprofloxacin,Crocin,5mg,75
Ear Infection,"Cough, Dizziness, Pain, Nausea",Omeprazole,Crocin,5mg,150
Ear Infection,"Cough, Dizziness, Pain, Nausea",Metronidazole,Azithral,1g,20
